id,subject,grade,topic,subtopic,language,type,question,answer,keypoints
BIO-011,Biology,M5,Endocrine System,Hormones,EN,exam-prep,Summarize the endocrine system for exam preparation.,"The endocrine system regulates body functions through hormones. Important glands include the pituitary, thyroid, adrenal glands, pancreas, and reproductive glands.",Hormones; endocrine glands; pituitary; thyroid; adrenal; pancreas
BIO-012,Biology,M5,พันธุศาสตร์,เมนเดล,TH,homework-help,ลักษณะดอกสีม่วง (P) เด่นกว่าดอกสีขาว (p) ถ้าผสม Pp × Pp จงหาสัดส่วนฟีโนไทป์,จาก Punnett square ได้จีโนไทป์ 1 PP : 2 Pp : 1 pp ดังนั้นฟีโนไทป์คือ ดอกสีม่วง : ดอกสีขาว = 3 : 1,Punnett square; genotype ratio; phenotype ratio 3:1
BIO-013,Biology,M5,DNA,DNA Structure,EN,quick-answer,Which nitrogenous base pairs with adenine in DNA?,Adenine pairs with thymine.,Adenine; Thymine; complementary base pairing
BIO-014,Biology,M5,Evolution,Natural Selection,EN,concept-focused,Explain natural selection.,"Natural selection is the process by which individuals with advantageous traits are more likely to survive and reproduce, causing those traits to become more common over generations.",Natural selection; advantageous traits; survival; reproduction; evolution
BIO-015,Biology,M6,นิเวศวิทยา,ระบบนิเวศ,TH,exam-prep,สรุประบบนิเวศสำหรับเตรียมสอบ,ระบบนิเวศประกอบด้วยสิ่งมีชีวิตและสิ่งไม่มีชีวิตที่มีปฏิสัมพันธ์กัน พลังงานไหลผ่านห่วงโซ่อาหารและใยอาหาร โดยผู้ผลิตเป็นจุดเริ่มต้นของการถ่ายทอดพลังงาน,ระบบนิเวศ; ผู้ผลิต; ผู้บริโภค; ห่วงโซ่อาหาร; ใยอาหาร
BIO-016,Biology,M6,Population Ecology,Population Growth,EN,homework-help,Explain the difference between exponential growth and logistic growth.,"Exponential growth occurs when resources are unlimited, resulting in a J-shaped curve. Logistic growth occurs when resources become limiting, producing an S-shaped curve.",Exponential growth; Logistic growth; J curve; S curve; limiting resources
BIO-017,Biology,M6,ความหลากหลายทางชีวภาพ,Biodiversity,TH,quick-answer,ความหลากหลายทางชีวภาพหมายถึงอะไร,ความหลากหลายทางชีวภาพคือความหลากหลายของสิ่งมีชีวิต ยีน และระบบนิเวศในพื้นที่หนึ่ง,ความหลากหลายของสิ่งมีชีวิต; ยีน; ระบบนิเวศ
BIO-018,Biology,M6,Biotechnology,Genetic Engineering,EN,concept-focused,Explain genetic engineering.,Genetic engineering is the direct modification of an organism's DNA using biotechnology techniques to produce desired traits.,Genetic engineering; DNA modification; biotechnology; desired traits
BIO-019,Biology,M6,สุขภาพมนุษย์,โรคติดต่อ,TH,exam-prep,สรุปวิธีป้องกันโรคติดต่อสำหรับเตรียมสอบ,การป้องกันโรคติดต่อทำได้โดยการฉีดวัคซีน รักษาสุขอนามัย ล้างมือสม่ำเสมอ รับประทานอาหารสะอาด และหลีกเลี่ยงการสัมผัสเชื้อโรค,วัคซีน; สุขอนามัย; ล้างมือ; อาหารสะอาด; การป้องกันโรค
BIO-020,Biology,M6,Immunology,Immune Response,EN,homework-help,Explain the difference between innate immunity and adaptive immunity.,"Innate immunity provides immediate, non-specific defense against pathogens. Adaptive immunity develops more slowly, is specific to particular pathogens, and creates immunological memory.",Innate immunity; Adaptive immunity; specific response; immunological memory
