id,subject,grade,topic,subtopic,language,type,question,answer,keypoints
CHEM-011,Chemistry,M5,Solutions,Concentration,EN,exam-prep,Summarize concentration units commonly used in chemistry.,"Common concentration units include molarity (mol/L), percentage concentration, ppm, and molality. Students should know when and how to apply each unit.",Molarity; percentage concentration; ppm; molality
CHEM-012,Chemistry,M5,กรดและเบส,pH,TH,homework-help,สารละลายมีค่า [H⁺] = 1×10⁻³ M จงหาค่า pH,pH = -log[H⁺] = -log(10⁻³) = 3,สูตร pH=-log[H+]; คำนวณ pH; คำตอบ 3
CHEM-013,Chemistry,M5,Acids and Bases,pH Scale,EN,quick-answer,What is the pH of a neutral solution at 25°C?,The pH of a neutral solution at 25°C is 7.,Neutral solution; pH 7
CHEM-014,Chemistry,M5,Thermochemistry,Energy Changes,EN,concept-focused,Explain the difference between exothermic and endothermic reactions.,Exothermic reactions release heat to the surroundings while endothermic reactions absorb heat from the surroundings.,Exothermic; endothermic; release heat; absorb heat
CHEM-015,Chemistry,M6,สมดุลเคมี,หลักเลอชาเตอลิเยร์,TH,exam-prep,สรุปหลักเลอชาเตอลิเยร์สำหรับเตรียมสอบ,เมื่อระบบสมดุลถูกรบกวน ระบบจะปรับตัวเพื่อลดผลของการรบกวนนั้น เช่น การเปลี่ยนความเข้มข้น ความดัน หรืออุณหภูมิ,Le Chatelier; ความเข้มข้น; ความดัน; อุณหภูมิ
CHEM-016,Chemistry,M6,Electrochemistry,Galvanic Cells,EN,homework-help,Explain why electrons flow from the anode to the cathode in a galvanic cell.,"Oxidation occurs at the anode, producing electrons. Reduction occurs at the cathode, consuming electrons. Therefore electrons naturally flow from anode to cathode.",Oxidation at anode; reduction at cathode; electron flow direction
CHEM-017,Chemistry,M6,อัตราการเกิดปฏิกิริยา,ปัจจัยที่มีผล,TH,quick-answer,ปัจจัยใดบ้างที่มีผลต่ออัตราการเกิดปฏิกิริยาเคมี,อุณหภูมิ ความเข้มข้น พื้นที่ผิว ตัวเร่งปฏิกิริยา และความดันของแก๊ส,อุณหภูมิ; ความเข้มข้น; พื้นที่ผิว; ตัวเร่งปฏิกิริยา; ความดัน
CHEM-018,Chemistry,M6,Organic Chemistry,Hydrocarbons,EN,concept-focused,"Explain the difference between alkanes, alkenes, and alkynes.","Alkanes contain only single bonds, alkenes contain at least one double bond, and alkynes contain at least one triple bond.",Alkanes; alkenes; alkynes; single bond; double bond; triple bond
CHEM-019,Chemistry,M6,พอลิเมอร์,ประเภทของพอลิเมอร์,TH,exam-prep,สรุปประเภทของพอลิเมอร์สำหรับเตรียมสอบ,พอลิเมอร์แบ่งเป็นโฮโมพอลิเมอร์และโคพอลิเมอร์ และสามารถแบ่งตามแหล่งกำเนิดเป็นพอลิเมอร์ธรรมชาติและพอลิเมอร์สังเคราะห์,Homopolymer; Copolymer; Natural polymer; Synthetic polymer
CHEM-020,Chemistry,M6,Analytical Chemistry,Titration,EN,homework-help,A titration requires 25.0 mL of 0.10 M NaOH to neutralize an acid. Calculate the moles of NaOH used.,Moles = M × V = 0.10 × 0.025 = 0.0025 mol,Moles=M×V; convert mL to L; calculate 0.0025 mol
